ModeCode,NTDModeCode,AssetDesc,AgencyDetail,AssetStatus,AssetTypeRoot,AssetTypeVariant,YRBuilt,YRInService,AgencyUsefulLife,StdUsefulLife,Quantity,UnitType,UnitCost,AgencySoftCost,TotalCost,YRCost,AssetPhysAddress,AssetPhysZIP,Latitude,Longitude,LineDivision,BranchGarage,SegmentRoute,LocLinearStart,LocLinearEnd,AgencyAssetUID,AgencyAssetClass,AgencyDeptOwner,AgencyNotes,AgencyConditionRating,AgencyParentUID,AgencyProjNum,AgencyProjCat,AgencyProjDesc,AgencySubFleetID,TOS,RevenueFlag,PriorityStatus,TCPScore,SquareFootage,HistoricPresrvFlag,ItemizedFlag,Manufacturer,ManufacturerCode,ModelNumber,FuelType,CapacitySeated,CapacityStanding,DataYR,DataSRC,ReviewFlag,ApprovedFlag,ApprovalComment,DelayReplaceAge,Rehabed,RehabedDate,CostNotes,UserField1,UserField2,UserField3,UserField4,FilterValue,RVID,PercentContingencyFleet,AssetPhysCity,AssetPhysState,DateofLastCondAssessment,AgencyCapitalResponsibility,LastRenewalYR,LastRenewalType,ADAFlag,AdditionalModeSupport,FTARecodeCategory,LastUpdated,Length,OwnershipType,FundingType,MilesThisYR,LifetimeMilesPerVeh
MB,MB,SANRAFAEL TRANS CONNECT SIGNS,SAN RAFAEL TRANS CONNECT SIGNS,EXT,41900.0,,2015,2015,10,,1.0,Lump sum,737578.15,0.0,737578.15,2015.0,D1 Yard,,,,,,,,,BG00745804,,,D1 Yard,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,
SY,SY,SOFTWARE FOR MOBILE INVENTORY,SOFTWARE FOR MOBILE INVENTORY,EXT,39203.0,,2015,2015,5,,1.0,Each,28142.45,0.0,28142.45,2015.0,,,,,,,,,,A0003639,,,Store Warehouse,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,DELL POWEREDGE R620 SERVER,DELL POWEREDGE R620 SERVER,EXT,39103.0,,2015,2015,5,,1.0,Each,6172.7,0.0,6172.7,2015.0,D1 HD Maint Bldg Computer Rm,,,,,,,,,A0003631,,,D1 HD Maint Bldg Computer Rm,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,DELL POWEREDGE R620 SERVER,DELL POWEREDGE R620 SERVER,EXT,39103.0,,2015,2015,5,,1.0,Each,6172.71,0.0,6172.71,2015.0,D1 HD Maint Bldg Computer Rm,,,,,,,,,A0003630,,,D1 HD Maint Bldg Computer Rm,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
SY,SY,DELL POWEREDGE R620 SERVER,DELL POWEREDGE R620 SERVER,EXT,39103.0,,2015,2015,5,,1.0,Each,6172.71,0.0,6172.71,2015.0,D1 HD Maint Bldg Computer Rm,,,,,,,,,A0003629,,,D1 HD Maint Bldg Computer Rm,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
MB,MB,SOFTWARE FOR MOBILE INVENTORY,SOFTWARE FOR MOBILE INVENTORY,EXT,39203.0,,2015,2015,5,,1.0,Each,18763.44,0.0,18763.44,2015.0,D1 Maint Shop Stores Office,,,,,,,,,A0003640,,,D1 Maint Shop Stores Office,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
FB,FB,SOFTWARE FOR MOBILE INVENTORY,SOFTWARE FOR MOBILE INVENTORY,EXT,39203.0,,2015,2015,5,,1.0,Each,9381.72,0.0,9381.72,2015.0,LFT Receiving Room,,,,,,,,,A0003641,,,LFT Receiving Room,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,
FB,FB,BURDEN CARRIER,BURDEN CARRIER,EXT,53003.0,,2015,2015,10,,1.0,Vehicles,13866.3,0.0,13866.3,2015.0,LFT Shop Area,,,,,,,,,F0001875,,,LFT Shop Area,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Ferryboat (FB),,,,,,
FB,FB,2014 F250 TRUCK,2014 F250 TRUCK,EXT,53002.0,,2015,2015,10,,1.0,Vehicles,31167.98,0.0,31167.98,2015.0,D1 Non-Revenue Vehicles,,,,,,,,,F0001874,,,D1 Non-Revenue Vehicle,,,,,,,,,3.0,,,False,,,FRD,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,
FB,FB,GENIE SCISSOR LIFT,GENIE SCISSOR LIFT,EXT,53003.0,,2013,2013,15,,1.0,Vehicles,20658.4,0.0,20658.4,2015.0,LFT Shop Area,,,,,,,,,F0001876,,,LFT Shop Area,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Revenue Vehicles,test,,,,,,,,False,False,Maintenance Facilities,2019-11-13 22:16:23.293,,,,,
MB,MB,D1 LANDSCAPE UPGRADE,D1 LANDSCAPE UPGRADE,EXT,22300.0,,2015,2015,10,,1.0,Each,45372.89,0.0,45372.89,2015.0,D1 Yard,,,,,,,,,B0009354,,,"2013 Cost-$45,372-6/30/14 - CIP 3-1333. Upgraded lanscape along Andersen Drive in accordance with contract 2014 BT2.",,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
MB,MB,2013 FORD TRANSIT CONNECT VAN,2013 FORD TRANSIT CONNECT VAN,EXT,53002.0,,2015,2015,10,,1.0,Vehicles,26077.71,0.0,26077.71,2015.0,D1 Non-Revenue Vehicles,,,,,,,,,B0009353,,,D1 Non-Revenue Vehicle,,,,,,,,,3.0,,,False,,,FRD,,,,,,,,,,,,,,,,,,Non-Revenue Vehicles,,,,,,,,,,,Trucks and other Rubber Tire Vehicles,,,,,,
FB,FB,AIR COMPRESSOR,AIR COMPRESSOR,EXT,23416.0,,2015,2015,10,,1.0,Each,19403.92,0.0,19403.92,2015.0,LFT Shop Area,,,,,,,,,F0001442,,,LFT Shop Area,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
FB,FB,3x5 FENDER & SECURING LINE,3X5 FENDER & SECURING LINE,EXT,38100.0,,2015,2015,10,,1.0,Each,19741.5,0.0,19741.5,2015.0,LFT Outside Areas,,,,,,,,,F0001877,,,LFT Outside Areas,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Maintenance Facilities,,,,,,
FC,FC,3M IDENTITY 5100 READER FOR D2,3M IDENTITY 5100 READER FOR D2,EXT,33312.0,,2015,2015,10,,1.0,Each,8853.34,0.0,8853.34,2015.0,NOVATO PLANT,,,,,,,,,BG004985,,,Novato Plant,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Passenger Parking Facilities,,,,,,
FB,FB,AIS SYSTEM FOR MV MENDOCINO,AIS SYSTEM FOR MV MENDOCINO,EXT,38201.0,,2015,2015,10,,1.0,Each,48705.69,0.0,48705.69,2015.0,MV Mendocino,,,,,,,,,FG000819,,,MV Mendocino,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Ferryboat (FB),,,,,,
FB,FB,AIS SYSTEM FOR MV DEL NORTE,AIS SYSTEM FOR MV DEL NORTE,EXT,38201.0,,2015,2015,10,,1.0,Each,54187.03,0.0,54187.03,2015.0,MV Del Norte,,,,,,,,,FG000818,,,MV Del Norte,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Ferryboat (FB),,,,,,
FB,FB,AIS SYSTEM FOR MS SONOMA,AIS SYSTEM FOR MS SONOMA,EXT,38201.0,,2015,2015,10,,1.0,Each,62821.91,0.0,62821.91,2015.0,MS Sonoma,,,,,,,,,FG000820,,,MS Sonoma,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Ferryboat (FB),,,,,,
FB,FB,AIS SYSTEM FOR MS MARIN,AIS SYSTEM FOR MS MARIN,EXT,38201.0,,2015,2015,10,,1.0,Each,54865.93,0.0,54865.93,2015.0,MS Marin,,,,,,,,,FG000821,,,MS Marin,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Ferryboat (FB),,,,,,
SY,SY,COMPELLENT STORAGE SYSTEM - SR,COMPELLENT STORAGE SYSTEM - SF,EXT,21100.0,,2015,2015,5,,1.0,Each,32777.53,0.0,32777.53,2015.0,SR A&D Trailer Computer Rm,,,,,,,,,A0003628,,,SR A&D Trailer Computer Rm,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
SY,SY,COMPELLENT STORAGE SYSTEM - SR,COMPELLENT STORAGE SYSTEM - SF,EXT,21100.0,,2015,2015,5,,1.0,Each,32777.53,0.0,32777.53,2015.0,SR A&D Trailer Computer Rm,,,,,,,,,A0003627,,,SR A&D Trailer Computer Rm,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
SY,SY,COMPELLENT STORAGE SYSTEM - SF,COMPELLENT STORAGE SYSTEM - SF,EXT,21100.0,,2015,2015,5,,1.0,Each,32777.53,0.0,32777.53,2015.0,IS Computer Room,,,,,,,,,A0003626,,,IS Computer Room,,,,,,,,,3.0,,,False,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,
