MB,MB,NEW SF BUS FACILITY MODS,NEW SF BUS FACILITY MODS,EXT,22300,,2015,2015,25,,1,Each,"$9,100,000.00 ",0,"$9,100,000.00 ",2015,,,,,,,,,,CIP-1018,,,,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,SAN FRANCISCO GGT BUS FAC D4,,EXT,21210,,2015,2015,25,,1,Each,"$8,870,087.30 ",0,"$8,870,087.30 ",2015,,,,,,,,,,BG007607,,,"2015 - CIP 3-1018 San Francisco SE Corner 3rd Street & Perry Street.9/30/15 - Fixed Asset Amount reduced by $4,561.81 due to PG&E refund.CIP 3-1018.",,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,MS MARIN,MS MARIN REFURBISH 2007,EXT,38301,,2007,2007,20,,1,Vehicles,"$7,779,335.00 ",0,"$7,779,335.00 ",2015,,,,,,,,,,FG00046309,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),37:10.7,,,,,,
FB,FB,MV DEL NORTE,MV DEL NORTE 1998,EXT,51505,,1998,1998,42,,1,Vehicle,"$7,686,362.90 ",0,"$7,686,362.90 ",2015,MV Del Norte,,,,,,,,,FG000764,,,"1998 Cost-$7,686,362.90; 1999 Impeller Spare Del Norte- $34,320; 2007 Coating-$11,160.09; 2007 Fuel Injectors-$39,872.69; 1999 Engine Spare-$212,837.63; 1999 Waterjet Spare-$151,222.50; 1999-Waterjet Spare-$15,444",,,,,,,,,3,,,FALSE,,Dakota Creek Industries,,AMD360D,DF,450,,,,,,,,,,,,,,,Revenue Vehicles,3891,,,,,,,,FALSE,FALSE,Ferryboat (FB),59:13.3,134,OOPA,UA,34625,820689,
FB,FB,GANGWAY & PIERS - 2016,FERRY FACILITIES REHABILITATION AND DREDGING,EXT,43022,,2015,2015,30,,1,Lump Sum,"$6,359,000.00 ",0,"$6,359,000.00 ",2015,,,,,,,,,,CIP-0503-16,,,2016 - CIP-0503,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
FB,FB,MV MENDOCINO,MV MENDOCINO MID-LIFE REFURBISH,EXT,38200,,2016,2016,42,,1,Set,"$6,284,549.17 ",0,"$6,284,549.17 ",2015,,,,,,,,,,FG00099408,,,MV MENDOCINO MID-LIFE REFURBISHMENT,,,,,,,,,1,,,FALSE,,,,,,,,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),43:21.4,,,,,,
FB,FB,REPOWER MV DEL NORTE,MV DEL NORTE REPOWER,EXT,38304,,2010,2010,10,,1,Vehicle,"$6,212,789.93 ",0,"$6,212,789.93 ",2015,MV Del Norte,,,,,,,,,FG00076404,,,CIP-0922,,,,,,,,,3,,,FALSE,,,,,DF,,,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),57:56.9,,,,,,
FB,FB,LARKSPUR CHANNEL DREDGING,LARKSPUR CHANNEL DREDGING,EXT,10700,,2015,2015,3,,1,Lump Sum,"$5,880,805.33 ",0,"$5,880,805.33 ",2015,LFT Outside Areas,,,,,,,,,FG00047112,,,LFT Outside Areas,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Infrastructure,,,,,,,,,,,Ferryboat (FB),,,,,,,
FB,FB,MS MARIN,MS MARIN REPOWER & DRY DOCK FERRY,CMT,38100,,2017,2017,10,,1,Lump Sum,"$5,488,000.00 ",0,"$5,488,000.00 ",2015,,,,,,,,,,CIP-1741,,,2018 - CIP-1741,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),35:19.3,,,,,,
FB,FB,GANGWAY & PIERS - 2018 DESIGN,FERRY FACILITIES REHABILITATION AND DREDGING,EXP,43022,,2015,2015,30,,1,Lump Sum,"$5,269,000.00 ",0,"$5,269,000.00 ",2015,,,,,,,,,,CIP-0503-18,,,2018 - CIP-0503,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
MB,MB,D1 RSRFC EMPLOYEE PARKING LOT & SOLAR,ENGINEERING,EXP,21509,,2015,2015,5,,1,Lump Sum,"$5,130,000.00 ",0,"$5,130,000.00 ",2015,,,,,,,,,,CIP-1431-16,,,2018 - CIP-1431,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,LARKSPUR TERMINAL BLDG,LARKSPUR TERMINAL BLDG,EXT,43010,,2015,2015,50,,1,Each,"$4,838,307.64 ",0,"$4,838,307.64 ",2015,LFT Outside Areas,,,,,,,,,FG000468,,,"1977 Cost-$4,838.307.64-LFT Outside Areas",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
SY,SY,FINANCIAL/HR/PAYROLL SYSTEM PROCUREMENT,FINANCIAL SYSTEM PROCUREMENT,PLN,39206,,2015,2015,5,,1,Lump Sum,"$4,500,000.00 ",0,"$4,500,000.00 ",2015,,,,,,,,,,CIP-1810,,,2019 - CIP-1810,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
FB,FB,LARKSPUR CHANNEL DREDGING,LARKSPUR CHANNEL DREDGING,RET,10700,,2015,2015,3,,1,Lump Sum,"$4,240,192.72 ",0,"$4,240,192.72 ",2015,LFT Outside Areas,,,,,,,,,FG00047111,,,"LARKSPUR CHANNEL DREDGING-2007 Cost-$4,240,192.72",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Infrastructure,,,,,,,,,,,Ferryboat (FB),,,,,,,
MB,MB,SAN RAFAEL ADMIN BLDG 2,SAN RAFAEL ADMIN BLDG 2,EXT,21100,,2015,2015,50,,2,Building,"$1,945,953.32 ",0,"$3,891,906.64 ",2015,D1 Yard,,,,,,,,,B000020801,,,D1 Yard,,,,,,,,,3,,19200,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,,
FB,FB,MV MARIN 1976,MS MARIN 1976,EXT,51501,,1976,1976,42,,1,Vehicle,"$3,769,757.52 ",0,"$3,769,757.52 ",2015,MS Marin,,,,,,,,,FG000463,,,"1976 Cost-$3,769,335; 2007 Refurbish Cost-$7,7779,335; 1985 Side Panels-$57,616, 1990 Sundeck-$127,280.13; 2002 Liferaft repl-$48,444.54; refurb in 2018",,,,,,,,,3,,,FALSE,,Dakota Creek Industries,,AMD360D,DF,,,,,,,,0,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),36:52.7,,OOPA,UA,,,
FB,FB,MV SONOMA 1976,MS SONOMA 1976,EXT,51501,,1976,1976,42,,1,Vehicle,"$3,769,757.52 ",0,"$3,769,757.52 ",2015,MS Sonoma,,,,,,,,,FG000464,,,"1976 Cost-$3,769,757.52; 2007 Fuel Injectors-$35,189.07; 1999 Pasngr Lift-$57,978.31; 1985-Side Panels-$57,617; 1991 Sundeck-$158,971; 2002 Liferaft Repl-$48,444.53",,,,,,,,,3,,,FALSE,,,,,DF,,,,,,,,0,,,,,,,,Revenue Vehicles,3889,,,,,,,,FALSE,FALSE,Ferryboat (FB),41:21.3,,,,,,
FB,FB,MV SAN FRANCISCO 1977,MS SAN FRANSISCO 1977,EXT,51501,,1977,1977,42,,1,Vehicle,"$3,769,757.52 ",0,"$3,769,757.52 ",2015,MS San Francisco,,,,,,,,,FG000466,,,"1977 Cost-$3,769,767.52; 2007 Injectors-$35,189.03, 1999 Lift-$57,978.31;1985 Panels-$57,617;1990 Sundeck-$127,312.30; 2002 Lifraft Repl-$48,444.53; Full Refurb 2015 $20,485,000.",,,,,,,,,3,,,FALSE,,,,,DF,,,,,,,,0,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),40:44.6,,,,,,
FB,FB,FERRY TICKET VENDING MACHINES,FERRY TICKET VENDING MACHINES,EXT,35115,,2015,2015,7,,12,Each,"$308,921.05 ",0,"$3,707,052.60 ",2015,The Asset Itself,,,,,,,,,FG000806,,,The Asset Itself,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Passenger Facilities,,,,,,,
SY,SY,ASSET&VEHICLE FLUID MGMT SYST,ASSET&VEHICLE FLUID MGMT SYST,EXT,39203,,2015,2015,10,,1,Each,"$3,664,604.42 ",0,"$3,664,604.42 ",2015,IS Computer Room,,,,,,,,,FA00042,,,IS Computer Rm,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,CAPITAL EQUIPEMENT,CAPITAL EQUIPMENT FOR BUS,EXP,23200,,2015,2015,7,,1,Lump Sum,"$3,298,000.00 ",0,"$3,298,000.00 ",2015,,,,,,,,,,CIP-1839,,,2018 - CIP-1839,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,,
FB,FB,CAPITAL EQUIPMENT,CAPITAL EQUIPMENT FOR FERRY,EXP,38100,,2015,2015,5,,1,Lump Sum,"$3,298,000.00 ",0,"$3,298,000.00 ",2015,,,,,,,,,,CIP-1849,,,CAPITAL EQUIPMENT-including MJP 650 Water jets for MV Golden Gate and MV Napa,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Maintenance Facilities,,,,,,,
DR,DR,REPLACE 6 PARATRANSIT 22' GAS CUTAWAY,PARATRANSIT REPLACEMENT,EXP,52523,,2020,2020,5,,20,Lump Sum,"$90,000.00 ",0,"$3,240,000.00 ",2019,,,,,,,,,,CIP-1831,,,2019 - CIP-1831,,,,,,,,,1,,,FALSE,,,,,GA,8,,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,TRUE,FALSE,Bus (BU),33:47.9,21,OOPA,UA,0,,
FB,FB,REPOWER MV MENDOCINO,REPOWER MV MENDOCINO,EXT,38304,,2008,2008,10,,1,Vehicle,"$3,224,036.60 ",0,"$3,224,036.60 ",2015,MV Mendocino,,,,,,,,,FG00099403,,,MV Mendocino,,,,,,,,,3,,,FALSE,,,,,DF,,,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),57:19.2,,OOPA,UA,,,
FC,FC,"FAREBOXES 158ea 41"" 56ea 36""","FAREBOXES 158 EA 41""",EXT,35201,,2015,2015,20,,214,Each,"$13,950.30 ",0,"$2,985,364.20 ",2015,Buses,,,,,,,,,BG004912,,,"41"" Fareboxes split by MTC into separate asset record. Amt changed from $2,986,004.40 to $2,985,363.94 - Buses",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
FB,FB,LARKSPUR CHANNEL DREDGING,DREDGING AND NAVIGATIONAL AIDS,EXT,10700,,2015,2015,5,,1,Lump Sum,"$2,962,289.00 ",0,"$2,962,289.00 ",2015,,,,,,,,,,FG000471,,,INCLUDING NAVIGATIONAL AIDS,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Infrastructure,,,,,,,,,,,Ferryboat (FB),,,,,,,
MB,MB,SR TRANSIT CENTER,SR TRANSIT CENTER,EXT,41005,,2015,2015,30,,1,Each,"$2,801,970.21 ",0,"$2,801,970.21 ",2015,Bettini D1 Center,,,,,,,,,BG007458,,,"1992 Building-$2,801,970.21 - Located at Bettini D1 Center",,,,,,,,,3,,77500,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Parking Facilities,,,,,,,
MB,MB,SAN RAFAEL WASH RACKS WTR RECL,SAN RAFAEL WASH RACKS WTR RECL,EXT,23402,,2015,2015,15,,1,Each,"$2,738,858.01 ",0,"$2,738,858.01 ",2015,D1 Wash Island,,,,,,,,,BG00533002,,,D1 Wash Island,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
SY,SY,SAN RAFAEL DATA CENTER,SAN RAFAEL DATA CENTER,EXT,21230,,2015,2015,50,,1,Each,"$2,504,123.98 ",0,"$2,504,123.98 ",2015,SR A&D Trailer Computer Rm,,,,,,,,,B000020814,,,D1 Yard - 6/30/11 Construction of a Data Center in San Rafael CIP Project #0810.,,,,,,,,,3,,1300,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,,
FB,FB,CORTE MADERA RESTORATION,MARSH RESTORATION,EXT,43022,,2015,2015,10,,1,Lump Sum,"$2,489,000.00 ",0,"$2,489,000.00 ",2015,,,,,,,,,,CIP-9710,,,Corte Madera Site - Marsh Restoration,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Ferryboat (FB),,,,,,,
FB,FB,LARKSPUR LOT PARKING,LARKSPUR LOT PARKING,EXT,41602,,2015,2015,35,,1,Space,,0,"$2,473,879.25 ",2015,LFT Outside Areas,,,,,,,,,FG000996,,,"1980 Cost-$1,439,001 - LFT Outside Areas",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Parking Facilities,,,,,,,
MB,MB,SAN RAFAEL HD MAINT BLDG,SAN RAFAEL HD MAINT BLDG,EXT,21211,,2015,2015,50,,1,Each,"$2,346,000.00 ",0,"$2,346,000.00 ",2015,Heavy Duty Maint. Bldg.,,,,,,,,,BG007059,,,"1989 Permanent Structures-$2,346,000 - Located Heavy Duty Maint. Bldg",,,,,,,,,3,,8000,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,LARKSPUR FUEL TANK TEPL,LARKSPUR FUEL TANK TEPL,EXT,23411,,2015,2015,30,,1,Each,"$2,264,999.05 ",0,"$2,264,999.05 ",2015,LFT Outside Areas,,,,,,,,,FG00047203,,,"2001 Cost-$2,264,999.05 - LFT Outside Areas",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,LFT PARKING & ACCESS IMPROVEMN,LFT PARKING & ACCESS IMPROVEMN,EXT,43000,,2015,2015,10,,1,Lump Sum,"$2,218,696.06 ",0,"$2,218,696.06 ",2015,LFT Outside Areas,,,,,,,,,FG00046809,,,Located at LFT Outside Areas,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Parking Facilities,,,,,,,
FB,FB,LARKSPUR LOT PARKING,LARKSPUR LOT PARKING,EXT,41602,,2015,2015,35,,1800,Space,"$1,147.07 ",0,"$2,064,726.00 ",2015,,,,,,,,,,FG0009960,,,"1980 Cost-$1,439,001 - LFT Outside Areas",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Parking Facilities,,,,,,,
FB,FB,LFT PARKING LOT IMPROVEMENTS,LFT PARKING LOT IMPROVEMENTS,EXT,41600,,2015,2015,15,,1,Space,"$2,020,723.13 ",0,"$2,020,723.13 ",2015,LFT Outside Areas,,,,,,,,,FG00099605,,,"1994 Cost-$2,020,723 - LARKSPUR TERMINAL PARKING LOT IMPROVEMENTS",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Ferryboat (FB),,,,,,,
FB,FB,LARKSPUR SERVICE BLDG,LARKSPUR SERVICE BUILDING,EXT,38100,,2015,2015,50,,1,Each,"$1,928,714.00 ",0,"$1,928,714.00 ",2015,LFT Outside Areas,,,,,,,,,FG000470,,,"1977 Cost-$1,928,714",,,,,,,,,3,,8712,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,SERVICE LIFE EXTENSION PROGRAM (SLEP) - LARKSPUR,SLEP,EXP,43022,,2015,2015,30,,1,Lump Sum,"$1,740,000.00 ",0,"$1,740,000.00 ",2015,,,,,,,,,,CIP-1542,,,2018 - CIP-1542,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Ferryboat (FB),,,,,,,
FB,FB,MV DEL NORTE,VESSEL IMPROVEMENT,EXT,38300,,2017,2017,10,,1,Lump Sum,"$1,664,341.00 ",0,"$1,664,341.00 ",2015,,,,,,,,,,CIP-1648,,,MV DEL NORTE Vessel Improvement - main door,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Revenue Vehicles,,,,,,,,,FALSE,FALSE,Ferryboat (FB),26:56.2,,,,,,
SY,SY,FINANCIAL MGMT & MAINT SYST,FINANCIAL MGMT & MAINT SYST,EXT,39206,,2015,2015,10,,1,Each,"$1,645,893.62 ",0,"$1,645,893.62 ",2015,IS Computer Room,,,,,,,,,FA00014,,,"2004 Cost-$1,645,896.62 - IS Computer Room",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,D1 HEAVY DUTY SHOP REHAB,MAINTENCE SHOP,EXP,24200,,2015,2015,25,,1,Lump Sum,"$1,600,000.00 ",0,"$1,600,000.00 ",2015,,,,,,,,,,CIP-1830,,,2019 - CIP-1830,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,SAN FRANCISCO FERRY TERMINAL UTILITY&ROOF,UTILITY & ROOF IMPROVEMENT,EXT,41295,,2015,2015,10,,1,Sq Foot,"$1,578,299.61 ",0,"$1,578,299.61 ",2015,,,,,,,,,,CIP-1215,,,REHABILITATION. CIP-04-1215.,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Ferryboat (FB),,,,,,,
MB,MB,SAN RAFAEL MAINT ADD.,SAN RAFAEL MAINT ADD.,EXT,21211,,2015,2015,50,,1,Each,"$1,493,000.00 ",0,"$1,493,000.00 ",2015,Heavy Duty Maint. Bldg.,,,,,,,,,BG00080101,,,"1989 Permanent Structures-$1,493,000 - Located at the Heavy Duty Maint. Bldg",,,,,,,,,3,,27000,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
MB,MB,D1 BUS ADMIN IMPROVEMENTS,D1 BUS ADMIN IMPROVEMENTS,EXT,21100,,2015,2015,15,,1,Each,"$1,472,596.00 ",0,"$1,472,596.00 ",2015,,,,,,,,,,CIP-1008,,,,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Administrative Facilities,,,,,,,
MB,MB,SAN RAFAEL BODY SHOP ADD,SAN RAFAEL BODY SHOP ADD,EXT,21211,,2015,2015,50,,1,Each,"$1,439,000.00 ",0,"$1,439,000.00 ",2015,D1 Body Shop Suprv Office,,,,,,,,,BG00532801,,,"Additional cost to BG005328. Previously reported at $2,166,816.83. Per IFAS - $1,439,000. D1 Bod Shop Suprv Office",,,,,,,,,3,,14480,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,SF TERMINAL BUILDING,SF TERMINAL BUILDING,EXT,43010,,2015,2015,50,,1,Each,"$1,438,182.00 ",0,"$1,438,182.00 ",2015,SFFT,,,,,,,,,FG000543,,,"1978 Cost-$1,438,182 - SFFT",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
FB,FB,LARKSPUR BERTH 1 & 2,LARKSPUR BERTH 1 & 2,EXT,43020,,2015,2015,25,,1,Each,"$1,438,155.00 ",0,"$1,438,155.00 ",2015,LFT Outside Areas,,,,,,,,,FG000469,,,"1977 Cost-$1,438,155 - LFT Outside Areas",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Substation Building,,,,,,,
MB,MB,D1 SR BUS DRVRS RESTROOM REHAB,,EXT,21200,,2015,2015,20,,1,Each,"$1,416,473.34 ",0,"$1,416,473.34 ",2015,,,,,,,,,,BG007606,,,2015 - CIP 3-1008.,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,M&A Facilities,,,,,,,,,,,Maintenance Facilities,,,,,,,
FB,FB,LFT UTILITY REHABILITATION,LFT UTILITY REHABILITATION,EXT,36000,,2015,2015,15,,1,Each,"$1,395,856.08 ",0,"$1,395,856.08 ",2015,LFT Outside Areas,,,,,,,,,FG00046811,,,LFT Outside Areas,,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Systems,,,,,,,,,,,Ferryboat (FB),,,,,,,
FB,FB,LARKSPUR DOCK #1,LARKSPUR DOCK #1,EXT,43020,,2015,2015,25,,1,Each,"$1,342,904.00 ",0,"$1,342,904.00 ",2015,LFT Outside Areas,,,,,,,,,FG000474,,,"1977 Cost-$1,342,904 - LFT Outside Areas",,,,,,,,,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,Passenger Facilities,,,,,,,,,,,Passenger Facilities,,,,,,,
